statvalue 1:rest, 2:Queuing, 3:walking.
SampleNum statValueX Y Z 
1 1 -0.37349546 0.089782566 9.494206
2 1 -0.37349546 0.089782566 9.494206
3 1 -0.39025488 0.08020575 9.526528
4 1 -0.36511576 0.05626374 9.51336
5 1 -0.39384618 0.074220255 9.526528
6 1 -0.3842694 0.07062895 9.491813
7 1 -0.37349546 0.06823475 9.503783
8 1 -0.39983168 0.05746084 9.507375
9 1 -0.40581718 0.1412579 9.498995
10 1 -0.40581718 0.12449849 9.496601
11 1 -0.37708676 0.089782566 9.516952
12 1 -0.3854665 0.11372458 9.498995
13 1 -0.41299978 0.130484 9.44752
14 1 -0.37349546 0.1364695 9.485827
15 1 -0.36990416 0.088585466 9.520543
16 1 -0.34715924 0.08499416 9.544485
17 1 -0.39983168 0.12449849 9.518148
18 1 -0.41299978 0.11971009 9.507375
19 1 -0.39624038 0.06344634 9.508572
20 1 -0.40462008 0.049081136 9.519346
21 1 -0.8559271 0.6607997 9.531317
22 1 -0.12090719 1.0522517 9.526528
23 1 0.9804256 -0.39504328 9.564836
24 1 -0.049081136 -0.18435353 9.544485
25 1 0.93732995 -1.270124 9.520543
26 1 0.6404489 -0.63206923 9.498995
27 1 -0.1328782 -0.18195933 9.510966
28 1 -0.34715924 0.11252748 9.539697
29 1 0.08738836 0.34596214 9.49301
30 1 -3.1591492 0.21428105 9.466674
31 1 0.021547815 -0.045489833 9.510966
32 1 0.046686932 -0.06464344 9.463082
33 1 0.07182605 -0.094570965 9.503783
34 1 0.009576807 -0.037110128 9.522937
35 1 0.029927522 -0.04189853 9.531317
36 1 0.04070143 -0.007182605 9.61272
37 1 0.038307227 -0.019153614 9.585187
38 1 0.044292733 -0.050278235 9.483433
39 1 0.010773907 -0.037110128 9.519346
40 1 0.016759412 -0.03232172 9.504981
41 1 0.045489833 -0.031124622 9.508572
42 1 0.059855044 -0.023942016 9.520543
43 1 0.062249243 -0.044292733 9.510966
44 1 0.045489833 -0.01436521 9.53012
45 1 0.035913024 -0.027533319 9.507375
46 1 0.05865794 -0.027533319 9.512163
47 1 0.035913024 -0.022744916 9.531317
48 1 0.049081136 -0.0047884034 9.524135
49 1 0.02873042 -0.009576807 9.518148
50 1 0.046686932 -0.016759412 9.503783
51 1 0.022744916 -0.020350715 9.534908
52 1 0.051475335 -0.02633622 9.52174
53 1 0.05626374 -0.01316811 9.53012
54 1 0.062249243 -0.01436521 9.497798
55 1 0.044292733 -0.04070143 9.539697
56 1 0.05746084 -0.046686932 9.491813
57 1 -0.008379706 -0.015562311 9.5253315
58 1 0.02633622 0.039504327 9.510966
59 1 0.07182605 -0.008379706 9.502586
60 1 0.077811554 -0.01316811 9.516952
61 1 0.05267244 -0.01436521 9.531317
62 1 0.033518825 0.019153614 9.519346
63 1 0.050278235 -0.034715924 9.528923
64 1 0.04309563 -0.04309563 9.532514
65 1 0.050278235 -0.049081136 9.516952
66 1 0.04309563 -0.011971008 9.503783
67 1 0.031124622 -0.017956512 9.527725
68 1 0.039504327 -0.023942016 9.5385
69 1 0.029927522 -0.02873042 9.508572
70 1 0.039504327 0.005985504 9.539697
71 1 0.049081136 0.0023942017 9.514558
72 1 0.053869538 -0.02873042 9.533711
73 1 0.03232172 -0.007182605 9.543288
74 1 0.05626374 -0.021547815 9.481039
75 1 0.04070143 -0.02633622 9.54209
76 1 0.05746084 -0.025139118 9.504981
77 1 0.06584055 -0.025139118 9.496601
78 1 0.039504327 -0.010773907 9.512163
79 1 0.033518825 -0.019153614 9.508572
80 1 0.055066638 -0.016759412 9.5253315
81 1 0.035913024 -0.031124622 9.536105
82 1 0.04070143 -0.019153614 9.515755
83 1 0.037110128 -0.020350715 9.509769
84 1 0.050278235 -0.015562311 9.546879
85 1 0.033518825 -0.02873042 9.534908
86 1 0.035913024 -0.007182605 9.51336
87 1 0.053869538 -0.020350715 9.4774475
88 1 0.04070143 -0.0035913025 9.508572
89 1 0.05626374 -0.029927522 9.485827
90 1 0.053869538 -0.0011971008 9.507375
91 1 0.033518825 -0.020350715 9.497798
92 1 0.06823475 -0.01316811 9.5013895
93 1 0.047884032 -0.02633622 9.504981
94 1 0.039504327 -0.010773907 9.51336
95 1 0.049081136 -0.020350715 9.532514
96 1 0.076614454 -0.022744916 9.531317
97 1 0.053869538 -0.022744916 9.52174
98 1 0.039504327 -0.037110128 9.52174
99 1 0.04309563 -0.025139118 9.534908
100 1 0.047884032 -0.005985504 9.53012
101 1 0.045489833 -0.029927522 9.522937
102 1 0.04309563 -0.02633622 9.539697
103 1 0.038307227 -0.04189853 9.512163
104 1 0.035913024 -0.021547815 9.536105
105 1 0.045489833 -0.009576807 9.532514
106 1 0.02633622 -0.021547815 9.519346
107 1 0.053869538 -0.04189853 9.515755
