type,std,mean,nasc
0,0.30500647,0.21680555,0.69565115
0,0.30459777,0.21651636,0.68337972
0,0.30460672,0.21606977,0.68875463
0,0.30304259,0.21643844,0.69880262
0,0.30102232,0.21527986,0.71985395
0,0.30117408,0.21494435,0.72970685
0,0.30188780,0.21356479,0.73562104
0,0.30074330,0.21464703,0.74760184
0,0.29994127,0.21565042,0.74606594
0,0.29828647,0.21529566,0.73871922
0,0.29791157,0.21630004,0.74704690
0,0.29759992,0.21684379,0.75548596
0,0.29735775,0.21801327,0.76388865
0,0.29773574,0.21885422,0.75725041
0,0.29719572,0.21883716,0.73599851
0,0.29693349,0.22049353,0.71831123
0,0.29852935,0.22196025,0.70319133
0,0.30112934,0.22337698,0.66818877
0,0.30425926,0.22626807,0.64503586
0,0.30670243,0.22678200,0.62893845
0,0.30795895,0.22825439,0.61344278
0,0.30866028,0.22953588,0.59718726
0,0.30910526,0.23076457,0.59434276
0,0.30894667,0.23203323,0.59415965
0,0.30923633,0.23291610,0.58545931
0,0.31010698,0.23303841,0.57584911
0,0.30938294,0.23376891,0.55369654
0,0.31137727,0.23478261,0.53274995
0,0.31450952,0.23442844,0.54733097
0,0.31768586,0.23499966,0.50830752
0,0.32057234,0.23546818,0.46988337
0,0.32472953,0.23632468,0.43125103
0,0.32869500,0.23761595,0.38227714
0,0.33312982,0.23827364,0.34430978
0,0.33676144,0.23998003,0.35031459
0,0.34010451,0.24092097,0.38522817
0,0.34232539,0.23751013,0.43017096
0,0.34368585,0.23673223,0.46386534
0,0.34479862,0.23712757,0.52125767
0,0.34530577,0.23859817,0.56090057
0,0.34629937,0.23824168,0.57540058
0,0.34851542,0.23795503,0.55736997
0,0.35037967,0.24042131,0.53634422
0,0.35295402,0.24177940,0.51009390
0,0.35594472,0.24215935,0.47656152
0,0.35910784,0.24205354,0.44233535
0,0.36096361,0.24120694,0.41503865
0,0.36325478,0.24133909,0.39917304
0,0.36463296,0.24072797,0.40625205
0,0.36596758,0.24102361,0.42762295
0,0.36760795,0.24221561,0.43869918
0,0.36900276,0.24175209,0.42078080
0,0.36982853,0.24214172,0.45274820
0,0.37265628,0.24205566,0.50554839
0,0.37796081,0.24209012,0.50316909
0,0.38215881,0.24208063,0.48592399
0,0.38628174,0.24241727,0.46630457
0,0.39020903,0.24361266,0.42290582
0,0.39349353,0.24382426,0.39369937
0,0.39585573,0.24354581,0.36794472
0,0.39850145,0.24362041,0.36227683
0,0.40064714,0.24247989,0.32645021
0,0.40181274,0.24241179,0.31766941
0,0.40211170,0.24359184,0.32514622
0,0.40276497,0.24340280,0.32652711
0,0.40367837,0.24327902,0.29386686
0,0.40493628,0.24278467,0.28257978
0,0.40622167,0.24284039,0.28560484
0,0.40670913,0.24220254,0.30806065
0,0.40754287,0.24220906,0.32538237
0,0.40764147,0.24188894,0.35394337
0,0.40836424,0.24211044,0.36532414
0,0.41179769,0.24220598,0.38030585
0,0.41369932,0.24245277,0.40733900
0,0.41455035,0.24254882,0.42375787
0,0.41539451,0.24207274,0.43044542
0,0.41673202,0.24234299,0.44182403
0,0.41899646,0.24233219,0.45018515
0,0.42196037,0.24144927,0.45977955
0,0.42502195,0.24058058,0.47071876
0,0.42690358,0.24113975,0.46245047
0,0.42810440,0.23966428,0.45809953
0,0.42797179,0.23828298,0.43824414
0,0.42828160,0.23668682,0.43431964
0,0.42917274,0.23668694,0.43299554
0,0.43070450,0.23571870,0.44410626
0,0.43202113,0.23574160,0.45340445
0,0.43168758,0.23574295,0.46649756
0,0.43129514,0.23346946,0.45356937
0,0.43164698,0.22833797,0.43482949
0,0.42761681,0.22799927,0.47914441
0,0.42771601,0.22662297,0.51788795
0,0.42716339,0.22462575,0.53950709
0,0.42436615,0.22315188,0.59022652
0,0.41560425,0.22290043,0.59294851
0,0.40535975,0.22300625,0.55751774
0,0.39613117,0.22289226,0.53249225
0,0.38550248,0.22274502,0.49140474
0,0.36984206,0.22326601,0.45339864
